key	en_us	zh_cn	zh_hk	zh_tw	lzh	ja_jp	ko_kr	vi_vn
block.minecraft.deepslate_bricks	Deepslate Bricks	深板岩砖	深板岩磚	深板岩磚	板巖磚	深層岩レンガ	심층암 벽돌	Gạch đá bảng sâu
block.minecraft.deepslate_coal_ore	Deepslate Coal Ore	深层煤矿石	深層煤礦	深板岩煤礦	深石炭礦	深層石炭鉱石	심층암 석탄 광석	Quặng than đá bảng sâu
block.minecraft.deepslate_copper_ore	Deepslate Copper Ore	深层铜矿石	深層銅礦	深板岩銅礦	深銅礦	深層銅鉱石	심층암 구리 광석	Quặng đồng đá bảng sâu
block.minecraft.deepslate_diamond_ore	Deepslate Diamond Ore	深层钻石矿石	深層鑽石礦	深板岩鑽石礦	深金剛石礦	深層ダイヤモンド鉱石	심층암 다이아몬드 광석	Quặng kim cương đá bảng sâu
block.minecraft.deepslate_emerald_ore	Deepslate Emerald Ore	深层绿宝石矿石	深層綠寶石礦	深板岩綠寶石礦	深祖母綠礦	深層エメラルド鉱石	심층암 에메랄드 광석	Quặng ngọc lục bảo đá bảng sâu
block.minecraft.deepslate_gold_ore	Deepslate Gold Ore	深层金矿石	深層金礦	深板岩金礦	深金礦	深層金鉱石	심층암 금 광석	Quặng vàng đá bảng sâu
block.minecraft.deepslate_iron_ore	Deepslate Iron Ore	深层铁矿石	深層鐵礦	深板岩鐵礦	深鐵礦	深層鉄鉱石	심층암 철 광석	Quặng sắt đá bảng sâu
block.minecraft.deepslate_lapis_ore	Deepslate Lapis Lazuli Ore	深层青金石矿石	深層青金石礦	深板岩青金石礦	深群青礦	深層ラピスラズリ鉱石	심층암 청금석 광석	Quặng ngọc lưu ly đá bảng sâu
block.minecraft.deepslate_redstone_ore	Deepslate Redstone Ore	深层红石矿石	深層紅石礦	深板岩紅石礦	深紅石礦	深層レッドストーン鉱石	심층암 레드스톤 광석	Quặng Redstone đá bảng sâu
block.minecraft.deepslate_tile_slab	Deepslate Tile Slab	深板岩瓦台阶	深板岩瓦半磚	深板岩磚瓦半磚	板巖瓦版	深層岩タイルのハーフブロック	심층암 타일 반 블록	Phiến đá lát bảng sâu
block.minecraft.deepslate_tile_stairs	Deepslate Tile Stairs	深板岩瓦楼梯	深板岩瓦樓梯	深板岩磚瓦階梯	板巖瓦階	深層岩タイルの階段	심층암 타일 계단	Cầu thang đá lát bảng sâu
block.minecraft.deepslate_tile_wall	Deepslate Tile Wall	深板岩瓦墙	深板岩瓦牆	深板岩磚瓦牆	板巖瓦垣	深層岩タイルの塀	심층암 타일 담장	Tường đá lát bảng sâu
block.minecraft.deepslate_tiles	Deepslate Tiles	深板岩瓦	深板岩瓦	深板岩磚瓦	板巖瓦	深層岩タイル	심층암 타일	Đá lát bảng sâu
block.minecraft.detector_rail	Detector Rail	探测铁轨	感壓路軌	感測鐵軌	測軌	ディテクターレール	감지 레일	Đường ray cảm biến
block.minecraft.diamond_block	Block of Diamond	钻石块	鑽石磚	鑽石方塊	金剛石塊	ダイヤモンドブロック	다이아몬드 블록	Khối kim cương
block.minecraft.diamond_ore	Diamond Ore	钻石矿石	鑽石礦	鑽石礦	金剛石礦	ダイヤモンド鉱石	다이아몬드 광석	Quặng kim cương
block.minecraft.diorite	Diorite	闪长岩	閃長岩	閃長岩	閃綠石	閃緑岩	섬록암	Đá diorit
block.minecraft.diorite_slab	Diorite Slab	闪长岩台阶	閃長岩半磚	閃長岩半磚	閃綠石版	閃緑岩のハーフブロック	섬록암 반 블록	Phiến đá diorit
block.minecraft.diorite_stairs	Diorite Stairs	闪长岩楼梯	閃長岩樓梯	閃長岩階梯	閃綠石階	閃緑岩の階段	섬록암 계단	Cầu thang đá diorit
block.minecraft.diorite_wall	Diorite Wall	闪长岩墙	閃長岩牆	閃長岩牆	閃綠石垣	閃緑岩の塀	섬록암 담장	Tường đá diorit
block.minecraft.dirt	Dirt	泥土	泥土	泥土	土	土	흙	Đất
block.minecraft.dirt_path	Dirt Path	土径	泥徑	土徑	土徑	土の道	흙 길	Đường đất
block.minecraft.dispenser	Dispenser	发射器	發射器	發射器	射械	ディスペンサー	발사기	Máy phân phát
block.minecraft.dragon_egg	Dragon Egg	龙蛋	龍蛋	龍蛋	龍卵	ドラゴンの卵	드래곤 알	Trứng rồng
block.minecraft.dragon_head	Dragon Head	龙首	龍頭	龍首	龍首	ドラゴンの頭	드래곤 머리	Đầu rồng
block.minecraft.dragon_wall_head	Dragon Wall Head	墙上的龙首	牆上的龍頭	牆上的龍首	壁中龍首	壁に付けられたドラゴンの頭	드래곤 벽 머리	Đầu rồng trên tường
block.minecraft.dried_kelp_block	Dried Kelp Block	干海带块	乾海帶捆	海帶乾塊	乾海帶塊	乾燥した昆布ブロック	말린 켈프 블록	Khối tảo bẹ khô
block.minecraft.dripstone_block	Dripstone Block	滴水石块	滴水石	鐘乳石方塊	鐘乳石塊	鍾乳石ブロック	점적석 블록	Khối thạch nhũ
block.minecraft.dropper	Dropper	投掷器	投擲器	投擲器	擲械	ドロッパー	공급기	Máy thả
block.minecraft.emerald_block	Block of Emerald	绿宝石块	綠寶石磚	綠寶石方塊	祖母綠塊	エメラルドブロック	에메랄드 블록	Khối ngọc lục bảo
block.minecraft.emerald_ore	Emerald Ore	绿宝石矿石	綠寶石礦	綠寶石礦	祖母綠礦	エメラルド鉱石	에메랄드 광석	Quặng ngọc lục bảo
block.minecraft.enchanting_table	Enchanting Table	附魔台	附魔台	附魔台	淬靈案	エンチャントテーブル	마법 부여대	Bàn phù phép
block.minecraft.end_gateway	End Gateway	末地折跃门	終界折躍門	終界折躍門	終界門關	エンドゲートウェイ	엔드 관문	Cổng nối End
block.minecraft.end_portal	End Portal	末地传送门	終界傳送門	終界傳送門	終界結界門	エンドポータル	엔드 차원문	Cổng End
block.minecraft.end_portal_frame	End Portal Frame	末地传送门框架	終界傳送門框	終界傳送門框架	終界結界門匡	エンドポータルフレーム	엔드 차원문 틀	Khung cổng End
block.minecraft.end_rod	End Rod	末地烛	終界燭	終界燭	終界燭	エンドロッド	엔드 막대기	Thanh gậy End
block.minecraft.end_stone	End Stone	末地石	終界石	終界石	終界巖	エンドストーン	엔드 돌	Đá End
block.minecraft.end_stone_brick_slab	End Stone Brick Slab	末地石砖台阶	終界石磚半磚	終界石磚半磚	終界巖磚版	エンドストーンレンガのハーフブロック	엔드 석재 벽돌 반 블록	Phiến gạch đá End
block.minecraft.end_stone_brick_stairs	End Stone Brick Stairs	末地石砖楼梯	終界石磚樓梯	終界石磚階梯	終界巖磚階	エンドストーンレンガの階段	엔드 석재 벽돌 계단	Cầu thang gạch đá End
block.minecraft.end_stone_brick_wall	End Stone Brick Wall	末地石砖墙	終界石磚牆	終界石磚牆	終界巖磚垣	エンドストーンレンガの塀	엔드 석재 벽돌 담장	Tường gạch đá End
block.minecraft.end_stone_bricks	End Stone Bricks	末地石砖	終界石磚	終界石磚	終界巖磚	エンドストーンレンガ	엔드 석재 벽돌	Gạch đá End
block.minecraft.ender_chest	Ender Chest	末影箱	終界箱	終界箱	終眇箱	エンダーチェスト	엔더 상자	Rương Ender
block.minecraft.exposed_chiseled_copper	Exposed Chiseled Copper	斑驳的雕纹铜块	斑駁的浮雕銅磚	斑駁的浮雕銅方塊	渡濕雕銅塊	風化した模様入りの銅	약간 녹슨 조각된 구리	Khối đồng được đục bị ẩm
block.minecraft.exposed_copper	Exposed Copper	斑驳的铜块	斑駁的銅磚	斑駁的銅方塊	渡濕銅塊	風化した銅	약간 녹슨 구리	Khối đồng bị ẩm
block.minecraft.exposed_copper_bulb	Exposed Copper Bulb	斑驳的铜灯	斑駁的銅燈	斑駁的銅燈	渡濕銅燈	風化した銅の電球	약간 녹슨 구리 전구	Đèn đồng bị ẩm
block.minecraft.exposed_copper_door	Exposed Copper Door	斑驳的铜门	斑駁的銅門	斑駁的銅門	渡濕銅門	風化した銅のドア	약간 녹슨 구리 문	Cửa đồng bị ẩm
block.minecraft.exposed_copper_grate	Exposed Copper Grate	斑驳的铜格栅	斑駁的銅網格	斑駁的銅格柵	渡濕銅柵網	風化した銅の格子	약간 녹슨 구리 격자	Lưới đồng bị ẩm
block.minecraft.exposed_copper_trapdoor	Exposed Copper Trapdoor	斑驳的铜活板门	斑駁的銅地板門	斑駁的銅地板門	渡濕銅窖門	風化した銅のトラップドア	약간 녹슨 구리 다락문	Cửa sập đồng bị ẩm
block.minecraft.exposed_cut_copper	Exposed Cut Copper	斑驳的切制铜块	斑駁的切製銅磚	斑駁的切製銅方塊	渡濕割銅塊	風化した切り込み入りの銅	약간 녹슨 깎인 구리	Khối đồng được cắt bị ẩm
block.minecraft.exposed_cut_copper_slab	Exposed Cut Copper Slab	斑驳的切制铜台阶	斑駁的切製銅半磚	斑駁的切製銅半磚	渡濕割銅版	風化した切り込み入りの銅のハーフブロック	약간 녹슨 깎인 구리 반 블록	Phiến đồng được cắt bị ẩm
block.minecraft.exposed_cut_copper_stairs	Exposed Cut Copper Stairs	斑驳的切制铜楼梯	斑駁的切製銅樓梯	斑駁的切製銅階梯	渡濕割銅階	風化した切り込み入りの銅の階段	약간 녹슨 깎인 구리 계단	Cầu thang đồng được cắt bị ẩm
block.minecraft.farmland	Farmland	耕地	耕地	耕地	疇	耕地	경작지	Đất ruộng
block.minecraft.fern	Fern	蕨	蕨	蕨	蕨	シダ	고사리	Dương xỉ
block.minecraft.fire	Fire	火	火	火	火	炎	불	Lửa
block.minecraft.fire_coral	Fire Coral	火珊瑚	火珊瑚	火珊瑚	火珊瑚	ミレポラサンゴ	불 산호	San hô lửa
block.minecraft.fire_coral_block	Fire Coral Block	火珊瑚块	火珊瑚方塊	火珊瑚方塊	火珊瑚塊	ミレポラサンゴブロック	불 산호 블록	Khối san hô lửa
block.minecraft.fire_coral_fan	Fire Coral Fan	火珊瑚扇	扇狀火珊瑚	扇狀火珊瑚	扇狀火珊瑚	ミレポラウチワサンゴ	부채형 불 산호	San hô lửa hình quạt
block.minecraft.fire_coral_wall_fan	Fire Coral Wall Fan	墙上的火珊瑚扇	牆上的扇狀火珊瑚	牆上的扇狀火珊瑚	壁中扇狀火珊瑚	壁付きのミレポラウチワサンゴ	부채형 불 산호 벽	Cành san hô lửa hình quạt
block.minecraft.firefly_bush	Firefly Bush	萤火虫灌木丛	螢火蟲灌木叢	螢火蟲灌木叢	螢叢	ホタルの茂み	반딧불이 덤불	Bụi đom đóm
block.minecraft.fletching_table	Fletching Table	制箭台	製箭台	製箭台	製箭案	矢細工台	화살 작업대	Bàn làm cung tên
block.minecraft.flower_pot	Flower Pot	花盆	花盆	花盆	盆	植木鉢	화분	Chậu hoa
block.minecraft.flowering_azalea	Flowering Azalea	盛开的杜鹃花丛	開花的杜鵑叢	開花的杜鵑叢	芳杜鵑	開花したツツジ	꽃 핀 진달래	Đỗ quyên đang trổ bông
block.minecraft.flowering_azalea_leaves	Flowering Azalea Leaves	盛开的杜鹃树叶	開花的杜鵑樹葉	開花的杜鵑葉	芳杜鵑葉	開花したツツジの葉	꽃 핀 진달래 잎	Lá đỗ quyên có hoa
block.minecraft.frogspawn	Frogspawn	青蛙卵	青蛙卵	青蛙卵	鼃子	カエルの卵	개구리알	Trứng ếch
block.minecraft.frosted_ice	Frosted Ice	霜冰	霜冰	霜冰	霜冰	薄氷	살얼음	Băng phủ sương
block.minecraft.furnace	Furnace	熔炉	熔爐	熔爐	爐	かまど	화로	Lò nung
block.minecraft.gilded_blackstone	Gilded Blackstone	镶金黑石	鑲金黑石	鑲金黑石	嵌金之墨石	きらめくブラックストーン	황금이 박힌 흑암	Đá đen mạ vàng
block.minecraft.glass	Glass	玻璃	玻璃	玻璃	琉璃	ガラス	유리	Thủy tinh
block.minecraft.glass_pane	Glass Pane	玻璃板	玻璃片	玻璃片	琉璃嵌板	ガラス板	유리판	Tấm thủy tinh
block.minecraft.glow_lichen	Glow Lichen	发光地衣	發光地衣	發光地衣	地踏爍菰	ヒカリゴケ	발광 이끼	Địa y phát sáng
block.minecraft.glowstone	Glowstone	荧石	熒光石	螢光石	硄	グロウストーン	발광석	Đá phát sáng
block.minecraft.gold_block	Block of Gold	金块	金磚	黃金方塊	金塊	金ブロック	금 블록	Khối vàng
block.minecraft.gold_ore	Gold Ore	金矿石	金礦	金礦	金礦	金鉱石	금 광석	Quặng vàng
block.minecraft.granite	Granite	花岗岩	花崗岩	花崗岩	花崗巖	花崗岩	화강암	Đá hoa cương
block.minecraft.granite_slab	Granite Slab	花岗岩台阶	花崗岩半磚	花崗岩半磚	花崗巖版	花崗岩のハーフブロック	화강암 반 블록	Phiến đá hoa cương
block.minecraft.granite_stairs	Granite Stairs	花岗岩楼梯	花崗岩樓梯	花崗岩階梯	花崗巖階	花崗岩の階段	화강암 계단	Cầu thang đá hoa cương
block.minecraft.granite_wall	Granite Wall	花岗岩墙	花崗岩牆	花崗岩牆	花崗巖垣	花崗岩の塀	화강암 담장	Tường đá hoa cương
block.minecraft.grass	Grass	草	草	草	艸	草	잔디	Cỏ
block.minecraft.grass_block	Grass Block	草方块	草地	草地	艸方	草ブロック	잔디 블록	Khối cỏ
block.minecraft.gravel	Gravel	沙砾	砂礫	礫石	礫	砂利	자갈	Sỏi
block.minecraft.gray_banner	Gray Banner	灰色旗帜	灰色橫額	灰色旗幟	灰旗	灰色の旗	회색 현수막	Cờ hiệu xám
block.minecraft.gray_bed	Gray Bed	灰色床	灰色牀	灰色床	灰床	灰色のベッド	회색 침대	Giường xám
block.minecraft.gray_candle	Gray Candle	灰色蜡烛	灰色蠟燭	灰色蠟燭	灰燭	灰色のろうそく	회색 초	Nến xám
block.minecraft.gray_candle_cake	Cake with Gray Candle	插上灰色蜡烛的蛋糕	插上灰色蠟燭的蛋糕	插上灰色蠟燭的蛋糕	灰燭之洋糕	灰色のろうそくが立てられたケーキ	회색 초를 꽂은 케이크	Bánh ngọt có nến xám
block.minecraft.gray_carpet	Gray Carpet	灰色地毯	灰色地氈	灰色地毯	灰氍毹	灰色のカーペット	회색 양탄자	Thảm xám
block.minecraft.gray_concrete	Gray Concrete	灰色混凝土	灰色混凝土	灰色混凝土	灰砼	灰色のコンクリート	회색 콘크리트	Bê tông xám
block.minecraft.gray_concrete_powder	Gray Concrete Powder	灰色混凝土粉末	灰色混凝土粉末	灰色混凝土粉末	灰砼粉	灰色のコンクリートパウダー	회색 콘크리트 가루	Bột bê tông xám
block.minecraft.gray_glazed_terracotta	Gray Glazed Terracotta	灰色带釉陶瓦	灰色釉陶	灰色釉陶	灰釉陶	灰色の彩釉テラコッタ	회색 유광 테라코타	Đất nung tráng men xám
block.minecraft.gray_shulker_box	Gray Shulker Box	灰色潜影盒	灰色界伏盒	灰色界伏盒	灰贆櫝	灰色のシュルカーボックス	회색 셜커 상자	Hộp Shulker xám
block.minecraft.gray_stained_glass	Gray Stained Glass	灰色染色玻璃	灰色染色玻璃	灰色玻璃	灰琉璃	灰色の色付きガラス	회색 색유리	Thủy tinh được nhuộm xám
block.minecraft.gray_stained_glass_pane	Gray Stained Glass Pane	灰色染色玻璃板	灰色染色玻璃片	灰色玻璃片	灰琉璃嵌板	灰色の色付きガラス板	회색 색유리 판	Tấm thủy tinh được nhuộm xám
block.minecraft.gray_terracotta	Gray Terracotta	灰色陶瓦	灰色陶瓦	灰色陶土	灰陶	灰色のテラコッタ	회색 테라코타	Đất nung xám
block.minecraft.gray_wool	Gray Wool	灰色羊毛	灰色羊毛	灰色羊毛	灰羊毛	灰色の羊毛	회색 양털	Len xám
block.minecraft.green_banner	Green Banner	绿色旗帜	綠色橫額	綠色旗幟	綠旗	緑色の旗	초록색 현수막	Cờ hiệu xanh lá cây
block.minecraft.green_bed	Green Bed	绿色床	綠色牀	綠色床	綠床	緑色のベッド	초록색 침대	Giường xanh lá cây
block.minecraft.green_candle	Green Candle	绿色蜡烛	綠色蠟燭	綠色蠟燭	綠燭	緑色のろうそく	초록색 초	Nến xanh lá cây
block.minecraft.green_candle_cake	Cake with Green Candle	插上绿色蜡烛的蛋糕	插上綠色蠟燭的蛋糕	插上綠色蠟燭的蛋糕	綠燭之洋糕	緑色のろうそくが立てられたケーキ	초록색 초를 꽂은 케이크	Bánh ngọt có nến xanh lá cây
block.minecraft.green_carpet	Green Carpet	绿色地毯	綠色地氈	綠色地毯	綠氍毹	緑色のカーペット	초록색 양탄자	Thảm xanh lá cây
block.minecraft.green_concrete	Green Concrete	绿色混凝土	綠色混凝土	綠色混凝土	綠砼	緑色のコンクリート	초록색 콘크리트	Bê tông xanh lá cây
block.minecraft.green_concrete_powder	Green Concrete Powder	绿色混凝土粉末	綠色混凝土粉末	綠色混凝土粉末	綠砼粉	緑色のコンクリートパウダー	초록색 콘크리트 가루	Bột bê tông xanh lá cây
block.minecraft.green_glazed_terracotta	Green Glazed Terracotta	绿色带釉陶瓦	綠色釉陶	綠色釉陶	綠釉陶	緑色の彩釉テラコッタ	초록색 유광 테라코타	Đất nung tráng men xanh lá cây
block.minecraft.green_shulker_box	Green Shulker Box	绿色潜影盒	綠色界伏盒	綠色界伏盒	綠贆櫝	緑色のシュルカーボックス	초록색 셜커 상자	Hộp Shulker xanh lá cây
block.minecraft.green_stained_glass	Green Stained Glass	绿色染色玻璃	綠色染色玻璃	綠色玻璃	綠琉璃	緑色の色付きガラス	초록색 색유리	Thủy tinh được nhuộm xanh lá cây
block.minecraft.green_stained_glass_pane	Green Stained Glass Pane	绿色染色玻璃板	綠色染色玻璃片	綠色玻璃片	綠琉璃嵌板	緑色の色付きガラス板	초록색 색유리 판	Tấm thủy tinh được nhuộm xanh lá cây
block.minecraft.green_terracotta	Green Terracotta	绿色陶瓦	綠色陶瓦	綠色陶土	綠陶	緑色のテラコッタ	초록색 테라코타	Đất nung xanh lá cây
block.minecraft.green_wool	Green Wool	绿色羊毛	綠色羊毛	綠色羊毛	綠羊毛	緑色の羊毛	초록색 양털	Len xanh lá cây
block.minecraft.grindstone	Grindstone	砂轮	砂輪	砂輪	礪	砥石	숫돌	Đá mài
block.minecraft.hanging_roots	Hanging Roots	垂根	懸根	懸根	懸根	垂れ根	매달린 뿌리	Rễ treo
block.minecraft.hay_block	Hay Bale	干草捆	乾草捆	乾草捆	芻束	干草の俵	건초 더미	Kiện rơm
block.minecraft.heavy_core	Heavy Core	沉重核心	沉重核心	沉重核心	重核	ヘビーコア	무거운 코어	Lõi nặng
block.minecraft.heavy_weighted_pressure_plate	Heavy Weighted Pressure Plate	重质测重压力板	重質測重壓力板	重質測重壓力板	重踏板	重量用感圧板	중형 무게 압력판	Đĩa cảm biến áp lực nặng
block.minecraft.honey_block	Honey Block	蜂蜜块	蜜糖塊	蜂蜜塊	蜜塊	ハチミツブロック	꿀 블록	Khối mật ong
block.minecraft.honeycomb_block	Honeycomb Block	蜜脾块	蜂巢蜜塊	蜂巢塊	蜜脾塊	ハニカムブロック	벌집 조각 블록	Khối sáp ong
block.minecraft.hopper	Hopper	漏斗	漏斗	漏斗	漏斗	ホッパー	호퍼	Cái phễu
block.minecraft.horn_coral	Horn Coral	鹿角珊瑚	角珊瑚	角珊瑚	角珊瑚	シカツノサンゴ	사방산호	San hô sừng
block.minecraft.horn_coral_block	Horn Coral Block	鹿角珊瑚块	角珊瑚方塊	角珊瑚方塊	角珊瑚塊	シカツノサンゴブロック	사방산호 블록	Khối san hô sừng
block.minecraft.horn_coral_fan	Horn Coral Fan	鹿角珊瑚扇	扇狀角珊瑚	扇狀角珊瑚	扇狀角珊瑚	シカツノウチワサンゴ	부채형 사방산호	San hô sừng hình quạt
block.minecraft.horn_coral_wall_fan	Horn Coral Wall Fan	墙上的鹿角珊瑚扇	牆上的扇狀角珊瑚	牆上的扇狀角珊瑚	壁中扇狀角珊瑚	壁付きのシカツノウチワサンゴ	부채형 사방산호 벽	Cành san hô sừng hình quạt
block.minecraft.ice	Ice	冰	冰	冰	冰	氷	얼음	Băng
block.minecraft.infested_chiseled_stone_bricks	Infested Chiseled Stone Bricks	虫蚀雕纹石砖	蛀蝕的浮雕石磚	蛀蝕的浮雕石磚	蟫蝕雕磚	模様入りの虫食い石レンガ	벌레 먹은 조각된 석재 벽돌	Gạch đá được đục bị nhiễm khuẩn
block.minecraft.infested_cobblestone	Infested Cobblestone	虫蚀圆石	蛀蝕的碎石	蛀蝕的鵝卵石	蟫蝕䃮	虫食い丸石	벌레 먹은 조약돌	Đá cuội bị nhiễm khuẩn
block.minecraft.infested_cracked_stone_bricks	Infested Cracked Stone Bricks	虫蚀裂纹石砖	蛀蝕的裂紋石磚	蛀蝕的裂紋石磚	蟫蝕裂磚	ひび割れた虫食い石レンガ	벌레 먹은 금 간 석재 벽돌	Gạch đá nứt bị nhiễm khuẩn
block.minecraft.infested_deepslate	Infested Deepslate	虫蚀深板岩	蛀蝕的深板岩	蛀蝕的深板岩	蟫蝕板巖	虫食い深層岩	벌레 먹은 심층암	Đá bảng sâu bị nhiễm khuẩn
block.minecraft.infested_mossy_stone_bricks	Infested Mossy Stone Bricks	虫蚀苔石砖	蛀蝕的青苔石磚	蛀蝕的青苔石磚	蟫蝕苔磚	苔むした虫食い石レンガ	벌레 먹은 이끼 낀 석재 벽돌	Gạch đá phủ rêu bị nhiễm khuẩn
block.minecraft.infested_stone	Infested Stone	虫蚀石头	蛀蝕的石頭	蛀蝕的石頭	蟫蝕巖	虫食い石	벌레 먹은 돌	Đá bị nhiễm khuẩn
block.minecraft.infested_stone_bricks	Infested Stone Bricks	虫蚀石砖	蛀蝕的石磚	蛀蝕的石磚	蟫蝕巖磚	虫食い石レンガ	벌레 먹은 석재 벽돌	Gạch đá bị nhiễm khuẩn
block.minecraft.iron_bars	Iron Bars	铁栏杆	鐵欄杆	鐵柵欄	鐵檻	鉄格子	철창	Hàng rào sắt
block.minecraft.iron_block	Block of Iron	铁块	鐵磚	鐵方塊	鐵塊	鉄ブロック	철 블록	Khối sắt
block.minecraft.iron_door	Iron Door	铁门	鐵門	鐵門	鐵門	鉄のドア	철 문	Cửa sắt
block.minecraft.iron_ore	Iron Ore	铁矿石	鐵礦	鐵礦	鐵礦	鉄鉱石	철 광석	Quặng sắt
block.minecraft.iron_trapdoor	Iron Trapdoor	铁活板门	鐵製地板門	鐵地板門	鐵窖門	鉄のトラップドア	철 다락문	Cửa sập sắt
block.minecraft.jack_o_lantern	Jack o'Lantern	南瓜灯	南瓜燈	南瓜燈	南瓜燈	ジャック・オ・ランタン	잭오랜턴	Đèn bí ngô
block.minecraft.jigsaw	Jigsaw Block	拼图方块	拼圖方塊	拼圖方塊	榫卯塊	ジグソーブロック	직소 블록	Khối mảnh ghép
block.minecraft.jukebox	Jukebox	唱片机	唱片機	唱片機	留聲機	ジュークボックス	주크박스	Hộp chơi nhạc
block.minecraft.jungle_button	Jungle Button	丛林木按钮	叢林木按鈕	叢林木按鈕	叢莽鈕	ジャングルのボタン	정글나무 버튼	Nút gỗ rừng
block.minecraft.jungle_door	Jungle Door	丛林木门	叢林木門	叢林木門	叢莽門	ジャングルのドア	정글나무 문	Cửa gỗ rừng
block.minecraft.jungle_fence	Jungle Fence	丛林木栅栏	叢林木欄杆	叢林木柵欄	叢莽檻	ジャングルのフェンス	정글나무 울타리	Hàng rào gỗ rừng
block.minecraft.jungle_fence_gate	Jungle Fence Gate	丛林木栅栏门	叢林木閘門	叢林木柵欄門	叢莽扉	ジャングルのフェンスゲート	정글나무 울타리 문	Cổng rào gỗ rừng
block.minecraft.jungle_hanging_sign	Jungle Hanging Sign	悬挂式丛林木告示牌	叢林木吊牌	懸掛式叢林木告示牌	叢莽懸牌	ジャングルの吊り看板	정글나무 매다는 표지판	Tấm biển treo gỗ rừng
block.minecraft.jungle_leaves	Jungle Leaves	丛林树叶	叢林木樹葉	叢林木樹葉	叢莽葉	ジャングルの葉	정글나무 잎	Lá rừng
block.minecraft.jungle_log	Jungle Log	丛林原木	叢林木原木	叢林木原木	叢莽樁	ジャングルの原木	정글나무 원목	Thân cây rừng
block.minecraft.jungle_planks	Jungle Planks	丛林木板	叢林木板	叢林木材	叢莽材	ジャングルの板材	정글나무 판자	Ván gỗ rừng
block.minecraft.jungle_pressure_plate	Jungle Pressure Plate	丛林木压力板	叢林木壓力板	叢林木壓力板	叢莽踏板	ジャングルの感圧板	정글나무 압력판	Đĩa cảm biến áp lực gỗ rừng
block.minecraft.jungle_sapling	Jungle Sapling	丛林树苗	叢林木樹苗	叢林木樹苗	叢莽秧	ジャングルの苗木	정글나무 묘목	Chồi cây rừng
block.minecraft.jungle_sign	Jungle Sign	丛林木告示牌	叢林木指示牌	叢林木告示牌	叢莽牌	ジャングルの看板	정글나무 표지판	Tấm biển gỗ rừng
block.minecraft.jungle_slab	Jungle Slab	丛林木台阶	叢林木半磚	叢林木半磚	叢莽版	ジャングルのハーフブロック	정글나무 반 블록	Phiến gỗ rừng
block.minecraft.jungle_stairs	Jungle Stairs	丛林木楼梯	叢林木樓梯	叢林木階梯	叢莽階	ジャングルの階段	정글나무 계단	Cầu thang gỗ rừng
block.minecraft.jungle_trapdoor	Jungle Trapdoor	丛林木活板门	叢林木地板門	叢林木地板門	叢莽窖門	ジャングルのトラップドア	정글나무 다락문	Cửa sập gỗ rừng
block.minecraft.jungle_wall_hanging_sign	Jungle Wall Hanging Sign	墙上的悬挂式丛林木告示牌	牆上的叢林木吊牌	牆上的懸掛式叢林木告示牌	壁中叢莽懸牌	壁に付けられたジャングルの吊り看板	정글나무 벽 매다는 표지판	Tấm biển treo gỗ rừng trên tường
block.minecraft.jungle_wall_sign	Jungle Wall Sign	墙上的丛林木告示牌	牆上的叢林木指示牌	牆上的叢林木告示牌	壁中叢莽牌	壁に付けられたジャングルの看板	정글나무 벽 표지판	Tấm biển gỗ rừng trên tường
block.minecraft.jungle_wood	Jungle Wood	丛林木	叢林木	叢林木塊	叢莽木	ジャングルの木	정글나무	Gỗ rừng
block.minecraft.kelp	Kelp	海带	海帶	海帶	海帶	コンブ	켈프	Tảo bẹ
block.minecraft.kelp_plant	Kelp Plant	海带植株	海帶植株	海帶植株	海帶株	コンブの茎	켈프 식물	Cây tảo bẹ
block.minecraft.ladder	Ladder	梯子	梯	梯子	梯	はしご	사다리	Thang
block.minecraft.lantern	Lantern	灯笼	燈籠	燈籠	燈籠	ランタン	랜턴	Đèn lồng
block.minecraft.lapis_block	Block of Lapis Lazuli	青金石块	青金石磚	青金石方塊	群青塊	ラピスラズリブロック	청금석 블록	Khối ngọc lưu ly
block.minecraft.lapis_ore	Lapis Lazuli Ore	青金石矿石	青金石礦	青金石礦	群青礦	ラピスラズリ鉱石	청금석 광석	Quặng ngọc lưu ly
block.minecraft.large_amethyst_bud	Large Amethyst Bud	大型紫晶芽	大型紫水晶芽	大型紫水晶芽	大紫水玉苗	大きなアメジストの芽	큰 자수정 봉오리	Nụ thạch anh tím lớn
block.minecraft.large_fern	Large Fern	大型蕨	大型蕨	大型蕨類	大蕨	大きなシダ	큰 고사리	Dương xỉ lớn
block.minecraft.lava	Lava	熔岩	熔岩	熔岩	熔巖	溶岩	용암	Dung nham
block.minecraft.lava_cauldron	Lava Cauldron	装有熔岩的炼药锅	裝熔岩的鍋	裝熔岩的鍋釜	熔巖居之釜	溶岩入りの大釜	용암 가마솥	Vạc dung nham
block.minecraft.leaf_litter	Leaf Litter	枯叶	枯葉	枯葉	枯葉	落ち葉	낙엽 더미	Lá khô
block.minecraft.lectern	Lectern	讲台	講台	講台	書檯	書見台	독서대	Bục để sách
block.minecraft.lever	Lever	拉杆	拉桿	控制桿	閘刀	レバー	레버	Cần gạt
block.minecraft.light	Light	光源方块	光	光源	光	ライトブロック	빛	Ánh sáng
